"filename", "language", "Python", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Boss.py", "Python", 96, 0, 0, 6, 53, 155
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Collectables.py", "Python", 32, 0, 0, 0, 23, 55
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Enemy.py", "Python", 90, 0, 0, 7, 37, 134
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\EnemyBullet.py", "Python", 43, 0, 0, 5, 21, 69
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\FriendlyBullet.py", "Python", 33, 0, 0, 5, 16, 54
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\GameObject.py", "Python", 34, 0, 0, 2, 20, 56
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Generator.py", "Python", 92, 0, 0, 1, 40, 133
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\HUD.py", "Python", 64, 0, 0, 17, 36, 117
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\JsonLoader.py", "Python", 41, 0, 0, 2, 15, 58
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Main.py", "Python", 68, 0, 0, 7, 32, 107
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Mediator.py", "Python", 3, 0, 0, 0, 1, 4
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Menu.py", "Python", 174, 0, 0, 25, 77, 276
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Player.py", "Python", 115, 0, 0, 4, 52, 171
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Setup.py", "Python", 3, 0, 0, 0, 1, 4
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Soundplayer.py", "Python", 42, 0, 0, 4, 20, 66
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\Spritesheet.py", "Python", 17, 0, 0, 7, 7, 31
"c:\Users\marti\Desktop\Projekt-4-Shooter\Game\save_file.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\marti\Desktop\Projekt-4-Shooter\README.md", "Markdown", 0, 0, 1, 0, 0, 1
"Total", "-", 947, 1, 1, 92, 451, 1492
